Original Rank,Statistical Tier,Models in Tier,Model,Score %,95% CI
1,1,7,calme-3.2-instruct-78b,52.08,"[50.0, 54.2]"
2,1,7,calme-3.1-instruct-78b,51.29,"[49.2, 53.4]"
3,1,7,CalmeRys-78B-Orpo-v0.1,51.23,"[49.1, 53.4]"
4,1,7,calme-2.4-rys-78b,50.77,"[48.6, 52.9]"
5,1,7,Qwen2.5-72B-Instruct-abliterated,48.11,"[46.0, 50.2]"
6,1,7,Qwen2.5-72B-Instruct,47.98,"[45.9, 50.1]"
7,1,7,calme-2.1-qwen2.5-72b,47.86,"[45.7, 50.0]"
8,2,54,Homer-v1.0-Qwen2.5-72B,47.46,"[45.2, 49.7]"
9,2,54,qwen2.5-test-32b-it,47.37,"[45.2, 49.5]"
10,2,54,Linkbricks-Horizon-AI-Avengers-V1-32B,47.34,"[45.2, 49.5]"
11,2,54,calme-2.2-qwen2.5-72b,47.22,"[45.1, 49.4]"
12,2,54,Qwen2.5-32B-Instruct-abliterated-v2,46.89,"[44.7, 49.0]"
13,2,54,ultiima-72B,46.77,"[44.5, 49.0]"
14,2,54,zetasepic-abliteratedV2-Qwen2.5-32B-Inst-Base,46.76,"[44.6, 48.9]"
15,2,54,Awqward2.5-32B-Instruct,46.75,"[44.6, 48.9]"
16,2,54,test-2.5-72B,46.74,"[44.6, 48.9]"
17,2,54,shuttle-3,46.7,"[44.5, 48.9]"
18,2,54,Qwen2.5-32B-Instruct,46.6,"[44.5, 48.7]"
19,2,54,Mistral-Large-Instruct-2411,46.52,"[44.4, 48.7]"
20,2,54,Rombos-LLM-V2.5-Qwen-72b,46.5,"[44.3, 48.7]"
21,2,54,Linkbricks-Horizon-AI-Avengers-V3-32B,46.37,"[44.2, 48.5]"
22,2,54,Qwen2.5-72B-Instruct-abliterated,46.34,"[44.1, 48.6]"
23,2,54,Linkbricks-Horizon-AI-Avengers-V6-32B,46.23,"[44.1, 48.4]"
24,2,54,lambda-qwen2.5-32b-dpo-test,45.92,"[43.8, 48.1]"
25,2,54,Qwentile2.5-32B-Instruct,45.9,"[43.7, 48.1]"
26,2,54,Rombos-LLM-V2.5-Qwen-32b,45.83,"[43.6, 48.1]"
27,2,54,openbuddy-llama3.3-70b-v24.1-131k,45.74,"[43.5, 47.9]"
28,2,54,Linkbricks-Horizon-AI-Avengers-V5-32B,45.67,"[43.5, 47.9]"
29,2,54,huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMe,45.66,"[43.5, 47.8]"
30,2,54,Linkbricks-Horizon-AI-Avengers-V4-32B,45.61,"[43.4, 47.8]"
31,2,54,ultiima-32B,45.4,"[43.1, 47.7]"
32,2,54,RYS-XLarge,45.35,"[43.2, 47.5]"
33,2,54,Qwen2.5-95B-Instruct,45.26,"[43.1, 47.4]"
34,2,54,ultiima-72B-v1.5,44.9,"[42.6, 47.2]"
35,2,54,Llama-3.3-70B-Instruct,44.85,"[42.8, 46.9]"
36,2,54,RomboUltima-32B,44.73,"[42.5, 47.0]"
37,2,54,calme-2.1-rys-78b,44.64,"[42.5, 46.8]"
38,2,54,calme-2.3-rys-78b,44.56,"[42.4, 46.7]"
39,2,54,calme-2.1-qwen2-72b,44.4,"[42.2, 46.6]"
40,2,54,calme-2.2-rys-78b,44.39,"[42.2, 46.6]"
41,2,54,MG-FinalMix-72B,44.3,"[42.1, 46.5]"
42,2,54,EVA-Qwen2.5-72B-v0.2,44.22,"[42.0, 46.5]"
43,2,54,Qwen2-72B-Orpo-v0.1,44.17,"[42.0, 46.4]"
44,2,54,RYS-XLarge-base,44.1,"[41.9, 46.3]"
45,2,54,calme-2.2-qwen2-72b,44.09,"[41.9, 46.3]"
46,2,54,Arcee-Nova,44.05,"[41.9, 46.3]"
47,2,54,L3.3-MS-Nevoria-70b,44.04,"[41.8, 46.3]"
48,2,54,Set-70b,44.03,"[41.8, 46.3]"
49,2,54,L3.3-Nevoria-R1-70b,43.61,"[41.3, 45.9]"
50,2,54,Qwen2-72B-Instruct,43.59,"[41.4, 45.8]"
51,2,54,BigQwen2.5-52B-Instruct,43.55,"[41.4, 45.7]"
52,2,54,Llama-3.1-SauerkrautLM-70b-Instruct,43.41,"[41.3, 45.5]"
53,2,54,Llama-3.1-70B-Instruct,43.41,"[41.3, 45.5]"
54,2,54,Dracarys-72B-Instruct,43.38,"[41.2, 45.6]"
55,2,54,Linkbricks-Horizon-AI-Avengers-V2-32B,43.34,"[41.2, 45.5]"
56,2,54,Lamarckvergence-14B,43.32,"[41.1, 45.5]"
57,2,54,calme-2.2-llama3.1-70b,43.31,"[41.2, 45.4]"
58,2,54,calme-2.3-llama3.1-70b,43.28,"[41.2, 45.4]"
59,2,54,orca_mini_v8_1_70b,43.19,"[41.1, 45.3]"
60,2,54,Progenitor-V1.1-LLaMa-70B,43.0,"[40.7, 45.3]"
61,2,54,70B-L3.3-Cirrus-x1,43.0,"[40.7, 45.3]"
62,3,39,magnum-v1-72b,42.96,"[40.7, 45.2]"
63,3,39,magnum-72b-v1,42.93,"[40.7, 45.1]"
64,3,39,Llama3.3-70B-CogniLink,42.77,"[40.5, 45.1]"
65,3,39,tempesthenno-ppo-ckpt40,42.74,"[40.5, 44.9]"
66,3,39,RYS-Llama3.1-Large,42.71,"[40.6, 44.8]"
67,3,39,RombosBeagle-v2beta-MGS-32B,42.66,"[40.4, 44.9]"
68,3,39,TheBeagle-v2beta-32B-MGS,42.64,"[40.3, 44.9]"
69,3,39,lambda-qwen2.5-14b-dpo-test,42.62,"[40.4, 44.8]"
70,3,39,tempesthenno-nuslerp-001,42.59,"[40.4, 44.8]"
71,3,39,Josiefied-Qwen2.5-14B-Instruct-abliterated-v4,42.55,"[40.4, 44.7]"
72,3,39,Q2.5-Veltha-14B,42.52,"[40.4, 44.7]"
73,3,39,ECE-ILAB-Q1,42.5,"[40.3, 44.7]"
74,3,39,Virtuoso-Small-v2,42.48,"[40.3, 44.6]"
75,3,39,Chocolatine-14B-Instruct-DPO-v1.3,42.42,"[40.2, 44.6]"
76,3,39,miscii-14b-1028,42.38,"[40.2, 44.5]"
77,3,39,miscii-14b-1225,42.35,"[40.1, 44.5]"
78,3,39,Llama-3.1-Tulu-3-70B,42.33,"[40.2, 44.5]"
79,3,39,Qwen2.5-72B-2x-Instruct-TIES-v1.0,42.27,"[40.0, 44.5]"
80,3,39,Llama-3.1-Tulu-3-70B-DPO,42.22,"[40.1, 44.4]"
81,3,39,Thalassic-Alpha-LLaMa-70B,42.22,"[40.0, 44.5]"
82,3,39,Rombos-LLM-V2.6-Qwen-14b,42.2,"[40.1, 44.3]"
83,3,39,Smaug-Qwen2-72B-Instruct,42.07,"[39.9, 44.3]"
84,3,39,Rombos-LLM-V2.6-Nemotron-70b,41.95,"[39.7, 44.2]"
85,3,39,QWEN-14B-B100,41.92,"[39.7, 44.1]"
86,3,39,Saka-14B,41.91,"[39.6, 44.2]"
87,3,39,Tsunami-1.0-14B-Instruct,41.84,"[39.6, 44.0]"
88,3,39,tempesthenno-kto-0205-ckpt80,41.79,"[39.6, 44.0]"
89,3,39,Lamarck-14B-v0.7-rc4,41.79,"[39.5, 44.0]"
90,3,39,magnum-v2-72b,41.78,"[39.6, 44.0]"
91,3,39,Josiefied-abliteratedV4-Qwen2.5-14B-Inst-Base,41.77,"[39.6, 43.9]"
92,3,39,Luminis-phi-4,41.76,"[39.5, 44.0]"
93,3,39,Qwen2.5-14B-Instruct-abliterated-v2,41.75,"[39.6, 43.9]"
94,3,39,Q2.5-Veltha-14B-0.5,41.61,"[39.4, 43.8]"
95,3,39,Oxyge1-33B,41.61,"[39.3, 43.9]"
96,3,39,QwQ-32B-Coder-Fusion-9010,41.58,"[39.3, 43.9]"
97,3,39,Qwen2.5-14B-Instruct-1M-GRPO-Reasoning,41.56,"[39.4, 43.7]"
98,3,39,Qwen2.5-14B-Instruct-1M,41.56,"[39.4, 43.7]"
99,3,39,Qwenvergence-14B-v11,41.52,"[39.3, 43.8]"
100,3,39,novablast-preview,41.52,"[39.2, 43.8]"
